Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Lead_Time,Total Nights,Checkin_Month,Checkin_Day_of_Week,Is_Weekend,Total_Guests
F,42,Asian American,Grad,<25K,East,Airport Hotels,1,2,0,HB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,25,180,14,4,7,6,1,3
F,69,African American,College,25K --50K,West,Airport Hotels,1,2,2,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,15,246,35,2,7,6,1,5
M,42,caucasian,Grad,>100K,North,Resort,3,3,1,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,10,203,67,1,7,6,1,7
F,22,Asian American,Grad,25K --50K,South,Resort,1,2,0,BB,No,No,No Deposit,Agent,Yes,Check-Out,No,0,220,34,3,7,6,1,3
M,32,Asian American,Mid-School,<25K,South,Airport Hotels,1,1,2,BB,Yes,No,No Deposit,Direct,No,Check-Out,No,0,182,11,1,7,3,0,4
M,62,Asian American,Mid-School,50K -- 100K,West,Airport Hotels,1,1,0,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,234,6,1,7,6,1,2
M,22,African American,Grad,<25K,East,Resort,1,3,2,BB,No,No,Refundable,Direct,Yes,Check-Out,Yes,10,118,36,1,7,0,0,6
F,62,caucasian,High-School,>100K,South,Resort,1,2,0,BB,No,No,No Deposit,Agent,No,Check-Out,Yes,5,220,68,4,7,1,0,3
M,45,Asian American,High-School,25K --50K,East,Airport Hotels,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,222,71,1,7,1,0,4
F,53,Latino,Mid-School,25K --50K,South,City Hotel,5,3,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,25,161,69,3,7,1,0,8
F,33,caucasian,Mid-School,50K -- 100K,South,City Hotel,2,1,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,10,101,125,2,7,2,0,3
M,32,Latino,College,<25K,South,City Hotel,3,1,1,BB,Yes,No,No Deposit,Online,Yes,Check-Out,No,0,105,77,1,7,2,0,5
F,43,African American,College,<25K,South,City Hotel,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,No,0,146,47,1,7,2,0,4
F,38,caucasian,High-School,25K --50K,West,City Hotel,3,2,0,BB,No,No,Refundable,Agent,Yes,Check-Out,Yes,20,162,59,1,5,0,0,5
F,18,Asian American,High-School,<25K,East,City Hotel,1,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,10,129,76,1,7,2,0,3
M,66,Latino,College,50K -- 100K,South,Resort,2,1,0,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,218,97,2,7,2,0,3
M,44,Latino,High-School,<25K,North,Airport Hotels,2,1,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,20,191,115,3,7,2,0,3
F,43,Latino,High-School,25K --50K,East,Airport Hotels,5,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,25,154,94,1,7,3,0,7
F,29,Asian American,Mid-School,25K --50K,South,Airport Hotels,3,2,0,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,173,95,1,5,4,0,5
F,54,Asian American,Mid-School,50K -- 100K,South,Airport Hotels,4,2,1,BB,Yes,No,No Deposit,Online,Yes,Check-Out,No,0,216,68,1,7,2,0,7
F,48,caucasian,Mid-School,50K -- 100K,South,City Hotel,3,2,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,103,42,3,5,1,0,6
F,43,Latino,College,50K -- 100K,East,Airport Hotels,3,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,25,246,39,1,6,4,0,4
F,43,caucasian,Grad,>100K,South,Airport Hotels,5,2,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,No,0,156,12,3,7,0,0,7
F,23,African American,High-School,50K -- 100K,North,City Hotel,3,1,0,BB,Yes,No,No Deposit,Online,No,Check-Out,Yes,10,237,35,1,7,0,0,4
M,43,African American,Mid-School,25K --50K,South,City Hotel,4,2,1,BB,Yes,No,No Deposit,Agent,No,Check-Out,No,0,166,39,4,5,5,1,7
M,21,caucasian,College,50K -- 100K,South,Airport Hotels,1,2,1,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,25,208,66,4,7,1,0,4
F,35,African American,Mid-School,25K --50K,South,Airport Hotels,1,1,0,BB,No,No,Non-Refundable,Online,Yes,Check-Out,Yes,30,159,44,1,5,0,0,2
F,36,caucasian,Mid-School,25K --50K,South,Resort,2,2,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,10,188,42,3,7,1,0,4
F,51,African American,College,50K -- 100K,East,Resort,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,134,15,1,7,1,0,3
F,29,caucasian,College,50K -- 100K,North,Airport Hotels,2,1,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-Out,Yes,20,218,69,1,7,1,0,3
F,68,caucasian,High-School,50K -- 100K,East,Airport Hotels,1,2,1,BB,No,No,No Deposit,Direct,Yes,Check-Out,No,0,101,103,4,7,3,0,4
M,44,Asian American,College,50K -- 100K,West,Resort,2,1,0,BB,No,No,Refundable,Direct,Yes,Check-Out,No,0,124,44,3,6,1,0,3
F,62,caucasian,High-School,<25K,South,Resort,3,2,1,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,10,243,94,2,7,3,0,6
M,68,Latino,High-School,<25K,South,Airport Hotels,1,1,1,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,25,238,112,1,7,3,0,3
M,69,caucasian,Grad,<25K,South,Resort,2,2,0,HB,No,No,No Deposit,Online,Yes,Check-Out,No,0,150,86,4,7,3,0,4
F,66,African American,Grad,>100K,North,Airport Hotels,1,2,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,5,111,49,1,7,3,0,3
F,32,Asian American,Grad,50K -- 100K,South,Resort,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,20,240,110,3,7,3,0,4
M,59,Latino,High-School,25K --50K,South,Airport Hotels,3,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,40,237,92,1,7,0,0,4
M,44,African American,College,50K -- 100K,West,City Hotel,2,2,0,BB,No,No,No Deposit,Agent,Yes,Check-Out,No,0,228,75,1,7,3,0,4
F,48,Latino,High-School,50K -- 100K,East,City Hotel,2,2,1,BB,Yes,Yes,No Deposit,Online,No,Check-Out,Yes,25,175,2,1,7,4,0,5
F,67,Latino,College,50K -- 100K,South,Airport Hotels,2,1,0,BB,Yes,Yes,Refundable,Online,No,Check-Out,Yes,20,158,0,1,7,4,0,3
M,60,Latino,High-School,>100K,South,Airport Hotels,2,1,1,BB,No,No,Non-Refundable,Online,Yes,Check-Out,Yes,10,143,13,1,7,5,1,4
F,26,Asian American,High-School,<25K,East,City Hotel,1,1,0,BB,No,No,Refundable,Direct,Yes,Check-Out,Yes,5,225,9,1,7,5,1,2
M,52,caucasian,Grad,>100K,South,Airport Hotels,3,1,1,BB,Yes,No,Non-Refundable,Online,No,Check-Out,Yes,25,201,4,1,7,5,1,5
M,24,caucasian,High-School,25K --50K,South,Resort,2,2,0,BB,Yes,No,No Deposit,Direct,Yes,Check-Out,No,0,123,16,1,7,6,1,4
M,60,Asian American,Mid-School,<25K,South,Airport Hotels,4,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-Out,Yes,25,242,92,1,7,6,1,6
F,26,Asian American,Mid-School,25K --50K,North,City Hotel,1,3,0,HB,Yes,Yes,Refundable,Online,No,Check-Out,Yes,15,179,1,2,6,0,0,4
F,26,African American,College,<25K,North,City Hotel,1,1,0,BB,Yes,No,No Deposit,Direct,Yes,Check-Out,Yes,10,232,9,1,7,6,1,2
F,69,Asian American,Grad,>100K,South,Airport Hotels,1,1,2,BB,No,No,Refundable,Agent,Yes,Check-Out,Yes,30,127,2,1,7,6,1,4
M,56,African American,College,<25K,North,Airport Hotels,3,3,1,BB,Yes,No,No Deposit,Agent,Yes,Check-Out,No,0,204,50,1,7,6,1,7
M,42,Latino,College,50K -- 100K,East,Resort,3,1,0,BB,Yes,No,No Deposit,Direct,No,Check-Out,Yes,10,174,70,1,6,1,0,4
F,61,caucasian,College,50K -- 100K,East,Resort,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,10,219,61,2,6,3,0,3
M,63,caucasian,College,50K -- 100K,West,Resort,1,3,0,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,30,146,61,1,7,4,0,4
F,65,African American,Mid-School,50K -- 100K,East,Resort,5,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,10,177,100,1,6,4,0,6
M,67,Asian American,College,<25K,West,Resort,1,2,1,HB,No,No,No Deposit,Online,No,Check-Out,No,0,214,1,1,7,6,1,4
M,55,Latino,Grad,<25K,South,City Hotel,4,1,1,BB,Yes,Yes,No Deposit,Direct,Yes,Check-Out,No,0,200,13,2,7,6,1,6
M,53,Asian American,Mid-School,>100K,South,Resort,4,1,1,BB,No,No,No Deposit,Agent,No,Check-Out,No,0,186,48,3,6,1,0,6
F,22,caucasian,High-School,25K --50K,North,Resort,5,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,No,0,187,2,1,7,0,0,7
M,46,caucasian,College,25K --50K,South,Airport Hotels,2,2,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,30,212,45,3,5,1,0,5
F,40,Asian American,Mid-School,50K -- 100K,South,Airport Hotels,1,3,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-Out,No,0,222,0,2,7,1,0,4
F,64,Latino,Mid-School,25K --50K,North,Resort,4,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,121,70,2,7,1,0,5
M,44,caucasian,College,25K --50K,East,Airport Hotels,5,2,2,BB,No,No,No Deposit,Online,No,Check-Out,No,0,203,80,1,7,5,1,9
F,28,caucasian,College,<25K,South,City Hotel,1,2,1,BB,Yes,No,Non-Refundable,Online,No,Check-Out,Yes,5,227,96,3,7,6,1,4
M,40,African American,College,50K -- 100K,North,Airport Hotels,1,1,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-Out,Yes,20,249,367,1,5,1,0,2
F,21,Asian American,Mid-School,>100K,South,City Hotel,2,2,1,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,243,361,3,7,0,0,5
F,62,Latino,Grad,50K -- 100K,South,Resort,2,1,0,HB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,10,231,80,1,6,1,0,3
M,58,Asian American,Mid-School,50K -- 100K,East,Resort,2,1,0,HB,No,No,Refundable,Agent,Yes,Check-Out,Yes,25,169,95,4,7,0,0,3
F,34,Latino,College,<25K,South,City Hotel,1,1,0,HB,Yes,No,Refundable,Online,No,Check-Out,Yes,25,188,323,1,7,4,0,2
M,31,caucasian,Grad,25K --50K,East,City Hotel,2,2,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,10,100,66,3,7,4,0,4
M,37,Asian American,College,<25K,East,City Hotel,2,1,1,BB,No,No,Non-Refundable,Online,No,Check-Out,Yes,40,170,76,3,4,2,0,4
F,51,Asian American,Mid-School,<25K,West,City Hotel,2,1,1,BB,No,No,No Deposit,Direct,No,Check-Out,Yes,20,146,9,3,7,5,1,4
M,47,Latino,Grad,25K --50K,West,Resort,1,1,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,10,121,8,1,7,5,1,2
M,56,Latino,Grad,<25K,North,City Hotel,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,No,0,102,0,1,7,5,1,3
M,51,African American,Grad,<25K,South,Resort,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,30,138,19,2,7,5,1,2
F,39,African American,Grad,<25K,South,Airport Hotels,1,1,0,BB,No,No,Refundable,Agent,No,Check-Out,Yes,20,242,6,3,7,5,1,2
M,29,Asian American,College,50K -- 100K,West,Resort,1,2,1,BB,Yes,Yes,Refundable,Direct,No,Check-Out,Yes,5,203,107,2,7,5,1,4
M,46,African American,High-School,25K --50K,North,Airport Hotels,2,1,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-Out,No,0,235,108,1,5,1,0,3
F,66,African American,Mid-School,50K -- 100K,West,Airport Hotels,2,1,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,15,205,71,1,6,0,0,4
M,49,African American,Mid-School,25K --50K,South,Resort,1,2,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,215,62,1,5,2,0,4
F,38,Latino,Mid-School,>100K,West,Airport Hotels,2,1,0,HB,No,No,Refundable,Direct,Yes,Check-Out,Yes,5,240,61,2,7,4,0,3
M,57,Latino,Grad,25K --50K,South,City Hotel,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,30,226,97,4,7,4,0,4
M,46,caucasian,College,50K -- 100K,South,City Hotel,1,1,2,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,10,164,100,2,7,4,0,4
F,59,African American,High-School,50K -- 100K,East,City Hotel,4,2,0,BB,No,No,Non-Refundable,Online,No,Check-Out,Yes,25,204,2,2,7,1,0,6
F,23,Asian American,College,<25K,South,City Hotel,2,2,0,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,158,94,4,7,1,0,4
F,32,Asian American,High-School,25K --50K,North,Resort,2,2,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-Out,Yes,15,204,90,2,7,4,0,4
M,28,Latino,High-School,<25K,South,Airport Hotels,3,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,5,117,94,1,7,4,0,4
F,47,caucasian,College,25K --50K,West,Airport Hotels,3,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,15,209,99,3,7,5,1,4
M,52,African American,Grad,<25K,East,Resort,5,1,0,BB,Yes,No,Refundable,Online,No,Check-Out,Yes,10,114,25,1,6,1,0,6
F,35,Latino,Grad,25K --50K,South,Airport Hotels,2,2,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,5,229,72,1,5,2,0,4
F,48,caucasian,Mid-School,50K -- 100K,North,Resort,2,2,0,BB,Yes,No,Refundable,Online,No,Check-Out,No,0,129,100,2,4,2,0,4
F,26,Latino,High-School,25K --50K,South,Resort,4,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,25,189,113,2,7,5,1,5
F,30,caucasian,College,<25K,South,Resort,2,1,2,BB,Yes,Yes,No Deposit,Agent,No,Check-Out,Yes,5,247,101,1,7,5,1,5
F,57,caucasian,Grad,50K -- 100K,South,City Hotel,3,3,0,BB,Yes,No,No Deposit,Direct,Yes,Check-Out,No,0,245,84,2,7,5,1,6
F,19,caucasian,College,<25K,North,City Hotel,5,2,0,HB,Yes,Yes,No Deposit,Direct,Yes,Check-Out,Yes,20,191,77,1,7,5,1,7
F,22,Asian American,College,25K --50K,North,Airport Hotels,2,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-Out,No,0,214,51,1,7,5,1,4
M,60,caucasian,College,<25K,East,Resort,1,2,0,BB,Yes,No,Refundable,Direct,Yes,Check-Out,Yes,10,228,26,3,7,6,1,3
F,23,African American,Grad,50K -- 100K,North,City Hotel,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,238,100,1,5,1,0,3
M,55,Asian American,Mid-School,50K -- 100K,East,Airport Hotels,2,3,0,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,5,144,108,1,7,6,1,5
M,58,African American,Mid-School,50K -- 100K,West,Airport Hotels,2,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,10,216,90,2,7,1,0,3
M,31,caucasian,Mid-School,50K -- 100K,South,Resort,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,240,88,4,7,1,0,2
F,33,Latino,College,<25K,East,City Hotel,3,1,1,HB,No,No,Refundable,Direct,Yes,Check-Out,No,0,123,77,2,7,1,0,5
F,41,Asian American,High-School,25K --50K,North,Resort,4,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,248,1,1,7,6,1,6
F,38,Latino,High-School,50K -- 100K,North,Airport Hotels,5,1,1,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,25,217,28,2,7,6,1,7
F,24,African American,College,50K -- 100K,West,Airport Hotels,1,2,0,HB,No,No,No Deposit,Direct,No,Check-Out,Yes,5,234,49,2,5,4,0,3
M,63,caucasian,College,50K -- 100K,West,Resort,3,1,0,BB,Yes,Yes,Non-Refundable,Online,Yes,Check-Out,Yes,5,120,35,1,7,5,1,4
F,58,African American,High-School,50K -- 100K,East,City Hotel,2,3,0,BB,No,No,No Deposit,Online,Yes,Check-Out,No,0,158,71,2,5,2,0,5
F,26,Latino,High-School,50K -- 100K,West,Resort,2,1,1,BB,No,No,No Deposit,Agent,Yes,Check-Out,No,0,168,31,2,6,1,0,4
M,20,Asian American,High-School,<25K,East,City Hotel,3,1,1,FB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,130,30,2,7,6,1,5
F,44,Asian American,Grad,25K --50K,South,City Hotel,1,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,5,203,5,3,7,6,1,2
F,38,Asian American,Mid-School,50K -- 100K,West,City Hotel,3,3,1,BB,Yes,Yes,No Deposit,Online,Yes,Check-Out,Yes,15,181,98,2,7,0,0,7
F,64,caucasian,High-School,25K --50K,South,Airport Hotels,1,1,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,15,165,0,1,7,0,0,3
F,29,African American,College,<25K,South,Resort,2,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-Out,Yes,20,186,99,1,7,0,0,4
M,35,Latino,High-School,50K -- 100K,North,Resort,4,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,10,130,98,2,7,0,0,5
M,53,Latino,Grad,25K --50K,South,City Hotel,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,118,7,2,7,0,0,2
M,38,Asian American,College,<25K,West,Airport Hotels,3,1,1,BB,No,No,No Deposit,Online,No,Check-Out,No,0,123,1,4,7,2,0,5
M,47,African American,Grad,<25K,North,Resort,1,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-Out,No,0,109,7,2,7,0,0,3
F,69,caucasian,Grad,>100K,South,City Hotel,1,2,1,BB,No,No,No Deposit,Agent,No,Check-Out,Yes,10,162,0,2,7,0,0,4
F,22,caucasian,High-School,50K -- 100K,East,Airport Hotels,4,1,0,BB,Yes,Yes,Refundable,Online,Yes,Check-Out,Yes,20,242,6,3,7,0,0,5
M,57,Latino,College,25K --50K,East,Airport Hotels,1,1,0,BB,No,No,No Deposit,Direct,No,Check-Out,Yes,15,244,4,1,7,2,0,2
F,68,African American,Grad,>100K,South,Airport Hotels,2,2,1,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,30,148,0,2,7,0,0,5
F,27,Latino,Mid-School,>100K,West,City Hotel,2,2,1,HB,Yes,Yes,Refundable,Agent,No,Check-Out,No,0,176,43,1,7,1,0,5
F,24,caucasian,College,<25K,South,Airport Hotels,1,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,20,103,78,2,7,1,0,2
F,61,African American,Grad,25K --50K,West,City Hotel,4,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,20,122,93,4,7,3,0,5
M,36,Asian American,Mid-School,25K --50K,West,City Hotel,3,2,1,BB,No,No,Non-Refundable,Online,Yes,Check-Out,Yes,20,133,108,1,7,4,0,6
F,38,caucasian,Mid-School,25K --50K,South,City Hotel,4,1,1,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,158,29,1,7,4,0,6
M,70,Asian American,College,50K -- 100K,East,City Hotel,2,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,40,227,63,1,7,4,0,3
M,38,African American,College,50K -- 100K,North,City Hotel,1,2,0,BB,Yes,No,No Deposit,Online,No,Check-Out,Yes,25,114,38,1,7,5,1,3
M,58,African American,Grad,25K --50K,South,Airport Hotels,1,1,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,25,223,89,1,7,5,1,2
M,26,Latino,College,<25K,South,Airport Hotels,2,2,0,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,30,201,33,1,6,2,0,4
M,37,African American,College,25K --50K,North,Resort,3,3,1,HB,No,No,Refundable,Online,No,Check-Out,Yes,5,191,92,1,5,4,0,7
F,45,Asian American,Grad,<25K,South,City Hotel,5,1,0,HB,No,No,Refundable,Online,Yes,Check-Out,Yes,5,190,93,4,7,6,1,6
M,29,Asian American,High-School,25K --50K,West,Airport Hotels,2,1,2,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,115,28,1,7,6,1,5
F,25,African American,College,>100K,North,City Hotel,2,2,0,HB,No,No,Refundable,Direct,Yes,Check-Out,No,0,176,100,1,3,0,0,4
F,54,Asian American,College,50K -- 100K,North,Resort,1,1,1,BB,Yes,No,Refundable,Direct,No,Check-Out,Yes,40,160,26,1,7,6,1,3
M,18,caucasian,Grad,50K -- 100K,South,Resort,3,1,1,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,10,150,6,2,7,1,0,5
M,54,Asian American,College,50K -- 100K,North,Resort,1,2,1,BB,Yes,No,Refundable,Online,No,Check-Out,Yes,5,157,80,2,7,2,0,4
M,33,Asian American,High-School,25K --50K,West,Airport Hotels,2,3,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,10,188,93,1,7,2,0,5
F,35,African American,College,50K -- 100K,South,Resort,1,1,1,BB,No,No,No Deposit,Online,Yes,Check-Out,No,0,186,109,1,7,3,0,3
M,58,African American,Mid-School,<25K,South,Resort,2,2,0,HB,Yes,Yes,No Deposit,Agent,Yes,Check-Out,No,0,172,95,1,7,6,1,4
M,24,Asian American,College,25K --50K,East,City Hotel,2,2,0,HB,No,No,Refundable,Online,Yes,Check-Out,Yes,20,244,76,3,7,6,1,4
F,40,Asian American,Mid-School,>100K,North,City Hotel,1,1,1,BB,No,No,No Deposit,Online,No,Check-Out,Yes,20,241,114,1,7,5,1,3
F,29,Latino,Mid-School,>100K,North,Resort,2,2,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,10,193,109,2,7,4,0,5
M,37,Asian American,Grad,50K -- 100K,East,Airport Hotels,1,2,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,151,50,1,7,4,0,3
M,34,caucasian,College,50K -- 100K,West,Airport Hotels,3,2,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,10,127,91,3,7,4,0,5
M,62,caucasian,College,50K -- 100K,South,Airport Hotels,2,3,0,HB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,5,184,78,3,7,4,0,5
M,50,caucasian,College,50K -- 100K,South,Resort,4,2,0,BB,Yes,Yes,No Deposit,Direct,No,Check-Out,Yes,30,181,82,2,7,4,0,6
F,56,Asian American,College,<25K,East,City Hotel,1,2,0,BB,Yes,Yes,Refundable,Online,Yes,Check-Out,Yes,5,145,48,3,7,4,0,3
F,43,caucasian,High-School,<25K,South,Resort,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,229,110,1,7,0,0,3
F,23,Asian American,College,<25K,North,Airport Hotels,1,3,0,BB,No,No,No Deposit,Direct,No,Check-Out,Yes,5,203,1,1,7,1,0,4
F,27,Latino,College,<25K,North,City Hotel,2,1,0,BB,Yes,No,Refundable,Online,No,Check-Out,No,0,173,6,1,7,2,0,3
M,23,African American,High-School,25K --50K,North,Airport Hotels,3,2,1,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,15,154,97,1,7,2,0,6
F,21,Asian American,College,25K --50K,East,Airport Hotels,2,2,0,BB,No,No,Non-Refundable,Online,No,Check-Out,Yes,20,115,93,2,7,3,0,4
F,69,caucasian,College,>100K,South,City Hotel,5,3,1,HB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,20,126,47,1,6,2,0,9
F,25,Latino,College,>100K,South,Resort,3,1,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,233,65,1,7,4,0,4
F,33,caucasian,College,>100K,South,Airport Hotels,2,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,10,122,103,1,7,4,0,3
M,50,African American,College,25K --50K,West,Resort,3,2,1,BB,No,No,No Deposit,Direct,No,Check-Out,Yes,25,154,25,3,7,5,1,6
F,41,African American,College,50K -- 100K,South,City Hotel,3,2,0,HB,No,No,No Deposit,Online,Yes,Check-Out,Yes,15,187,30,4,7,5,1,5
M,31,Latino,College,<25K,East,City Hotel,2,2,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-Out,Yes,5,167,96,2,7,6,1,4
F,26,Latino,College,25K --50K,South,Airport Hotels,5,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-Out,Yes,10,204,101,3,7,6,1,7
M,68,caucasian,Mid-School,25K --50K,North,Airport Hotels,3,1,1,HB,Yes,Yes,No Deposit,Agent,Yes,Check-Out,No,0,128,65,3,7,0,0,5
M,50,Latino,High-School,25K --50K,South,Resort,2,2,2,HB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,246,84,2,6,4,0,6
F,35,Latino,Grad,50K -- 100K,South,Airport Hotels,3,1,0,BB,No,No,No Deposit,Agent,No,Check-Out,Yes,30,211,256,2,7,0,0,4
